| t          | n_t        | d          | s          | r          | e          | o           | name                         | msg              |
| 1994107899 | None       | 517485834  | 1726582276 | 261020280  | 1987602556 | -1209096442 | temperature-to-humidity map: | j increment      |
| 1994107899 | 785011457  | 778506114  | 1987602556 | 74920688   | 2062523244 | -1209096442 | temperature-to-humidity map: | t in range v     |
| 2402516598 | None       | 778506114  | 1987602556 | 74920688   | 2062523244 | -1209096442 | temperature-to-humidity map: | j increment      |
| 2402516598 | None       | 2701246339 | 2062523244 | 35931978   | 2098455222 | 638723095   | temperature-to-humidity map: | j increment      |
| 2402516598 | None       | 1526273160 | 2098455222 | 20412030   | 2118867252 | -572182062  | temperature-to-humidity map: | j increment      |
| 2402516598 | None       | 4120325779 | 2118867252 | 76238040   | 2195105292 | 2001458527  | temperature-to-humidity map: | j increment      |
| 2402516598 | None       | 3330050747 | 2195105292 | 25002873   | 2220108165 | 1134945455  | temperature-to-humidity map: | j increment      |
| 2402516598 | None       | 2672422990 | 2220108165 | 28823349   | 2248931514 | 452314825   | temperature-to-humidity map: | j increment      |
| 2402516598 | 2918647061 | 2765061977 | 2248931514 | 215942531  | 2464874045 | 516130463   | temperature-to-humidity map: | t in range v     |
| 2533907499 | None       | 2765061977 | 2248931514 | 215942531  | 2464874045 | 516130463   | temperature-to-humidity map: | j increment      |
| 2533907499 | None       | 148189712  | 2464874045 | 9753099    | 2474627144 | -2316684333 | temperature-to-humidity map: | j increment      |
| 2533907499 | None       | 1608860129 | 2474627144 | 766847     | 2475393991 | -865767015  | temperature-to-humidity map: | j increment      |
| 2533907499 | 3977317292 | 3918803784 | 2475393991 | 77168080   | 2552562071 | 1443409793  | temperature-to-humidity map: | t in range v     |
| 2819295564 | None       | 3918803784 | 2475393991 | 77168080   | 2552562071 | 1443409793  | temperature-to-humidity map: | j increment      |
| 2819295564 | None       | 1886747852 | 2552562071 | 52048272   | 2604610343 | -665814219  | temperature-to-humidity map: | j increment      |
| 2819295564 | 2407153340 | 2192468119 | 2604610343 | 479954871  | 3084565214 | -412142224  | temperature-to-humidity map: | t in range v     |
| 2880839565 | 2468697341 | 2192468119 | 2604610343 | 479954871  | 3084565214 | -412142224  | temperature-to-humidity map: | t in range v     |
| 3387358962 | None       | 2192468119 | 2604610343 | 479954871  | 3084565214 | -412142224  | temperature-to-humidity map: | j increment      |
| 3387358962 | None       | 1609626976 | 3084565214 | 120015958  | 3204581172 | -1474938238 | temperature-to-humidity map: | j increment      |
| 3387358962 | None       | 1980365228 | 3204581172 | 61605863   | 3266187035 | -1224215944 | temperature-to-humidity map: | j increment      |
| 3387358962 | None       | 3995971864 | 3266187035 | 19936584   | 3286123619 | 729784829   | temperature-to-humidity map: | j increment      |
| 3387358962 | None       | 4223588565 | 3286123619 | 23738184   | 3309861803 | 937464946   | temperature-to-humidity map: | j increment      |
| 3387358962 | None       | 91521115   | 3309861803 | 56668597   | 3366530400 | -3218340688 | temperature-to-humidity map: | j increment      |
| 3387358962 | None       | 71715516   | 3366530400 | 19805599   | 3386335999 | -3294814884 | temperature-to-humidity map: | j increment      |
| 3387358962 | 4197586782 | 4196563819 | 3386335999 | 27024746   | 3413360745 | 810227820   | temperature-to-humidity map: | t in range v     |
| 3588978362 | None       | 4196563819 | 3386335999 | 27024746   | 3413360745 | 810227820   | temperature-to-humidity map: | j increment      |
| 3588978362 | None       | 18097572   | 3413360745 | 830782     | 3414191527 | -3395263173 | temperature-to-humidity map: | j increment      |
| 3588978362 | None       | 18928354   | 3414191527 | 36074961   | 3450266488 | -3395263173 | temperature-to-humidity map: | j increment      |
| 3588978362 | None       | 2054018546 | 3450266488 | 138449573  | 3588716061 | -1396247942 | temperature-to-humidity map: | j increment      |
| 3588978362 | 3774414119 | 3774151818 | 3588716061 | 144651966  | 3733368027 | 185435757   | temperature-to-humidity map: | t in range v     |
| 3677358537 | 3862794294 | 3774151818 | 3588716061 | 144651966  | 3733368027 | 185435757   | temperature-to-humidity map: | t in range v     |
| 3688404953 | 3873840710 | 3774151818 | 3588716061 | 144651966  | 3733368027 | 185435757   | temperature-to-humidity map: | t in range v     |
| 3705089050 | 3890524807 | 3774151818 | 3588716061 | 144651966  | 3733368027 | 185435757   | temperature-to-humidity map: | t in range v     |
| 4269471677 | None       | 3774151818 | 3588716061 | 144651966  | 3733368027 | 185435757   | temperature-to-humidity map: | j increment      |
| 4269471677 | None       | 1546685190 | 3733368027 | 62174939   | 3795542966 | -2186682837 | temperature-to-humidity map: | j increment      |
| 4269471677 | None       | 1812604664 | 3795542966 | 74143188   | 3869686154 | -1982938302 | temperature-to-humidity map: | j increment      |
| 4269471677 | None       | 0          | 3869686154 | 18097572   | 3887783726 | -3869686154 | temperature-to-humidity map: | j increment      |
| 4269471677 | 4269471677 | 157942811  | 3887783726 | 359543023  | 4247326749 | -3729840915 | temperature-to-humidity map: | t bigger than v  |
| 785011457  | None       | 329110209  | 0          | 39413233   | 39413233   | 329110209   | humidity-to-location map:    | j increment      |
| 785011457  | None       | 230668724  | 39413233   | 27530262   | 66943495   | 191255491   | humidity-to-location map:    | j increment      |
| 785011457  | None       | 187991299  | 66943495   | 42677425   | 109620920  | 121047804   | humidity-to-location map:    | j increment      |
| 785011457  | None       | 258198986  | 109620920  | 70911223   | 180532143  | 148578066   | humidity-to-location map:    | j increment      |
| 785011457  | None       | 0          | 180532143  | 151140540  | 331672683  | -180532143  | humidity-to-location map:    | j increment      |
| 785011457  | None       | 151140540  | 331672683  | 15832771   | 347505454  | -180532143  | humidity-to-location map:    | j increment      |
| 785011457  | None       | 385486933  | 347505454  | 330552350  | 678057804  | 37981479    | humidity-to-location map:    | j increment      |
| 785011457  | None       | 368523442  | 678057804  | 16963491   | 695021295  | -309534362  | humidity-to-location map:    | j increment      |
| 785011457  | 806029445  | 716039283  | 695021295  | 132051410  | 827072705  | 21017988    | humidity-to-location map:    | t in range v     |
| 1132923683 | None       | 716039283  | 695021295  | 132051410  | 827072705  | 21017988    | humidity-to-location map:    | j increment      |
| 1132923683 | None       | 166973311  | 827072705  | 21017988   | 848090693  | -660099394  | humidity-to-location map:    | j increment      |
| 1132923683 | None       | 3761601447 | 848395356  | 249872070  | 1098267426 | 2913206091  | humidity-to-location map:    | j increment      |
| 1132923683 | 2646025192 | 2611368935 | 1098267426 | 35837870   | 1134105296 | 1513101509  | humidity-to-location map:    | t in range v     |
| 2407153340 | None       | 2611368935 | 1098267426 | 35837870   | 1134105296 | 1513101509  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 4011473517 | 1134105296 | 283493779  | 1417599075 | 2877368221  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 1223511379 | 1417599075 | 90510833   | 1508109908 | -194087696  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 850403699  | 1508109908 | 216297672  | 1724407580 | -657706209  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 3711057743 | 1724407580 | 50543704   | 1774951284 | 1986650163  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 1817187310 | 1774951284 | 23037202   | 1797988486 | 42236026    | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 2420657564 | 1797988486 | 98294592   | 1896283078 | 622669078   | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 2518952156 | 1896283078 | 92416779   | 1988699857 | 622669078   | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 3183517648 | 1988699857 | 19973245   | 2008673102 | 1194817791  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 3425123177 | 2008673102 | 231470362  | 2240143464 | 1416450075  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 1437283688 | 2240143464 | 113813014  | 2353956478 | -802859776  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 3656593539 | 2353956478 | 3860964    | 2357817442 | 1302637061  | humidity-to-location map:    | j increment      |
| 2407153340 | None       | 1314022212 | 2357817442 | 8188711    | 2366006153 | -1043795230 | humidity-to-location map:    | j increment      |
| 2407153340 | 3116198971 | 3075051784 | 2366006153 | 108465864  | 2474472017 | 709045631   | humidity-to-location map:    | t in range v     |
| 2468697341 | 3177742972 | 3075051784 | 2366006153 | 108465864  | 2474472017 | 709045631   | humidity-to-location map:    | t in range v     |
| 2918647061 | None       | 3075051784 | 2366006153 | 108465864  | 2474472017 | 709045631   | humidity-to-location map:    | j increment      |
| 2918647061 | None       | 2793895840 | 2474472017 | 281155944  | 2755627961 | 319423823   | humidity-to-location map:    | j increment      |
| 2918647061 | 2126918557 | 1963899457 | 2755627961 | 201666829  | 2957294790 | -791728504  | humidity-to-location map:    | t in range v     |
| 3020048980 | None       | 1963899457 | 2755627961 | 201666829  | 2957294790 | -791728504  | humidity-to-location map:    | j increment      |
| 3020048980 | 1613850892 | 1551096702 | 2957294790 | 77256502   | 3034551292 | -1406198088 | humidity-to-location map:    | t in range v     |
| 3209578626 | None       | 1551096702 | 2957294790 | 77256502   | 3034551292 | -1406198088 | humidity-to-location map:    | j increment      |
| 3209578626 | None       | 1628353204 | 3034551292 | 138620276  | 3173171568 | -1406198088 | humidity-to-location map:    | j increment      |
| 3209578626 | 2201973344 | 2165566286 | 3173171568 | 104897432  | 3278069000 | -1007605282 | humidity-to-location map:    | t in range v     |
| 3472290379 | None       | 2165566286 | 3173171568 | 104897432  | 3278069000 | -1007605282 | humidity-to-location map:    | j increment      |
| 3472290379 | None       | 3203490893 | 3278069000 | 15115115   | 3293184115 | -74578107   | humidity-to-location map:    | j increment      |
| 3472290379 | None       | 848395356  | 3293184115 | 2008343    | 3295192458 | -2444788759 | humidity-to-location map:    | j increment      |
| 3472290379 | None       | 2412345353 | 3295192458 | 8312211    | 3303504669 | -882847105  | humidity-to-location map:    | j increment      |
| 3472290379 | None       | 3660454503 | 3303504669 | 50603240   | 3354107909 | 356949834   | humidity-to-location map:    | j increment      |
| 3472290379 | 1184883841 | 1066701371 | 3354107909 | 156810008  | 3510917917 | -2287406538 | humidity-to-location map:    | t in range v     |
| 3531428759 | None       | 1066701371 | 3354107909 | 156810008  | 3510917917 | -2287406538 | humidity-to-location map:    | j increment      |
| 3531428759 | 1787484322 | 1766973480 | 3510917917 | 50213830   | 3561131747 | -1743944437 | humidity-to-location map:    | t in range v     |
| 3582742496 | None       | 1766973480 | 3510917917 | 50213830   | 3561131747 | -1743944437 | humidity-to-location map:    | j increment      |
| 3582742496 | 3240216757 | 3218606008 | 3561131747 | 206517169  | 3767648916 | -342525739  | humidity-to-location map:    | t in range v     |
| 3612735774 | 3270210035 | 3218606008 | 3561131747 | 206517169  | 3767648916 | -342525739  | humidity-to-location map:    | t in range v     |
| 3676577552 | 3334051813 | 3218606008 | 3561131747 | 206517169  | 3767648916 | -342525739  | humidity-to-location map:    | t in range v     |
| 3717552570 | 3375026831 | 3218606008 | 3561131747 | 206517169  | 3767648916 | -342525739  | humidity-to-location map:    | t in range v     |
| 3774414119 | None       | 3218606008 | 3561131747 | 206517169  | 3767648916 | -342525739  | humidity-to-location map:    | j increment      |
| 3774414119 | 1846989715 | 1840224512 | 3767648916 | 123674945  | 3891323861 | -1927424404 | humidity-to-location map:    | t in range v     |
| 3862794294 | 1935369890 | 1840224512 | 3767648916 | 123674945  | 3891323861 | -1927424404 | humidity-to-location map:    | t in range v     |
| 3873840710 | 1946416306 | 1840224512 | 3767648916 | 123674945  | 3891323861 | -1927424404 | humidity-to-location map:    | t in range v     |
| 3890524807 | 1963100403 | 1840224512 | 3767648916 | 123674945  | 3891323861 | -1927424404 | humidity-to-location map:    | t in range v     |
| 3977317292 | None       | 1840224512 | 3767648916 | 123674945  | 3891323861 | -1927424404 | humidity-to-location map:    | j increment      |
| 3977317292 | 2733200236 | 2647206805 | 3891323861 | 146689035  | 4038012896 | -1244117056 | humidity-to-location map:    | t in range v     |
| 4197586782 | None       | 2647206805 | 3891323861 | 146689035  | 4038012896 | -1244117056 | humidity-to-location map:    | j increment      |
| 4197586782 | None       | 2270463718 | 4038012896 | 141881635  | 4179894531 | -1767549178 | humidity-to-location map:    | j increment      |
| 4197586782 | 1339903174 | 1322210923 | 4179894531 | 115072765  | 4294967296 | -2857683608 | humidity-to-location map:    | t in range v     |
| 4269471677 | 1411788069 | 1322210923 | 4179894531 | 115072765  | 4294967296 | -2857683608 | humidity-to-location map:    | t in range v     |
